2006年11月9号 2006年11月9日
生杀与夺 生杀予夺
生杀于夺 生杀予夺
生根发牙 生根发芽
生植器 生殖器
生死之博 生死之搏
生死决择 生死抉择
生死尤关 生死攸关
生死微妙 生事微渺
生死微渺 生事微渺
生死忧关 生死攸关
生死悠关 生死攸关
生死挈阔 死生挈阔
生死木渝 生死不渝
生死诀择 生死抉择
生母相见，死母相哭 生毋相见，死毋相哭
生气盎然 生机盎然
生活丰富多采 生活丰富多彩
生活力强 生命力强
生活品味 生活品位
生活在明嘉庆 生活在明嘉靖
生活型态 生活形态
生活好象变了 生活好像变了
生活必须品 生活必需品
生活断片 生活片段
生活栋 生活楼
生活案定 生活安定
生活沉网 生活沉闷
生活片断 生活片段
生活着上去 生活看上去
生灵涂碳 生灵涂炭
生灵途炭 生灵涂炭
生物话性 生物活性
生理现律 生理规律
生理缺欠 生理缺陷
生生不息的脉博 生生不息的脉搏
生生不惜 生生不息
生生木已 生生不已
生畜 牲畜
生痛 生疼
生矿 生圹
生秀 生锈
生绣 生锈
生般硬套 生搬硬套
生艺不见好 生意不见好
生荣末哀 生荣没哀
生荣死衰 生荣死哀
生荣默哀 生荣没哀
生计危艰 生计维艰
生话中 生活中
生话方式 生活方式
生财会有用 生材会有用
生财冇道 生财有道
生财贵适用 生材贵适用
生辰八宇 生辰八字
生逃者 生还者
生造硬作 生造硬做
生逢其肘 生逢其时
生逢其莳 生逢其时
生长在丘岭、田埂 生长在丘陵、田埂
生间气 生闷气
生面别开 别开生面
生面知之 生而知之
生音嘶哑 声音嘶哑
生魂出窍 灵魂出窍
生齿曰繁 生齿日繁
甦醒 苏醒
用一场蒙古族传统的博克 用一场蒙古族传统的搏克
用一阙清辞 用一阕清辞
用上派场 派上用场
用不上半天功夫 用不上半天工夫
用不找 用不着
用个纸一包 用张纸一包
用中间的手指要勾住 用中间的手指要钩住
用之木竭 用之不竭
用乎写 用手写
用于制作各种的罐器 用于制作各种的罐体
用于它处 用于他处
用人不疑，疑人木用 用人不疑，疑人不用
用人唯材 用人唯才
用人木疑，疑人不用 用人不疑，疑人不用
用人木疑，疑人木用 用人不疑，疑人不用
用亼不疑，疑亼不用 用人不疑，疑人不用
用亼唯才 用人唯才
用做冬天吋烧炕取暖 用作冬天时烧炕取暖
用几天功夫 用几天工夫
用几年功夫 用几年工夫
用刀刃锤出小口 用刀刃捶出小口
用刀垛碎 用刀剁碎
用刺刀桶 用刺刀捅
用力戮 用力戳
用力板着驴脖子 用力扳着驴脖子
用力楼 用力搂
用力煽火 用力扇火
用勺孑 用勺子
用各种借口勒索别人的财物，沾别人的便宜 用各种借口勒索别人的财物，占别人的便宜
用同样的佐料煮汤 用同样的作料煮汤
用唯婉、幽默、热烈的语言 用委婉、幽默、热烈的语言
用在刀口上 用在刀刃上
用在后面摸了摸 又在后面摸了摸
用均匀地慢火将表皮烤到焦黄 用均匀的慢火将表皮烤到焦黄
用坛罐奄起来 用坛罐腌起来
用塞于塞紧 用塞子塞紧
用夏変夷 用夏变夷
用夏娈夷 用夏变夷
用大拇指对把它按住 用大拇指对把它摁住
用小木楔子楔实 用小木楔子揳实
用帆布膛在输油管上 用帆布搪在输油管上
用心之古 用心之苦
用心结纳 用心接纳
用户粘性 用户黏性
用戸界面 用户界面
用扇子搧 用扇子扇
用扇孑扇 用扇子扇
用手一模 用手一摸
用手摭住 用手遮住
用手摸了模 用手摸了摸
用手棒水喝 用手捧水喝
用手模摸 用手摸摸
用手比划着 用手比画着
用手神了神 用手抻了抻
用报纸抱着 用报纸包着
用拖拉机托到现场 用拖拉机拖到现场
用拳头锤 用拳头捶
用木着 用不着
用杓子 用勺子
用枕中 用枕巾
用毯子里着身体 用毯子裹着身体
用毯孑裹着身体 用毯子裹着身体
用汗水普写了 用汗水谱写了
用法兰绒包看 用法兰绒包着
用泥塑成，用木雕刻的偶象 用泥塑成，用木雕刻的偶像
用浆糊 用糨糊
用渲纸印染 用宣纸印染
用火猛浇 用火猛烧
用熟芝麻的温度使糖融化 用熟芝麻的温度使糖熔化
用狼豪勾勒民俗风情墙画 用狼毫勾勒民俗风情墙画
用白灰划出 用白灰画出
用着你转 围着你转
用秫秸栏在门前 用秫秸拦在门前
用称称 用秤称
用竹签以“之”字形封口 用竹扦以“之”字形封口
用笔沾着 用笔蘸着
用筷了搅动 用筷子搅动
用细铁钎串在一起 用细铁扦穿在一起
用绳子困好 用绳子捆好
用缸淹咸了 用缸腌咸了
用胶水沾 用胶水粘
用脚提着 用脚踢着
用脚揣 用脚踹
用脚牢牢勾住枝杈 用脚牢牢钩住枝杈
用腊做成 用蜡做成
用英话问 用英语问
用萝筐 用箩筐
用蔑席 用篾席
用行舎藏 用行舍藏
用词木当 用词不当
用谎话唬弄孩子 用谎话糊弄孩子
用豆腐作汤作菜 用豆腐做汤做菜
用辞不当 用词不当
用锅靠成荤油 用锅焅成荤油
用鞋后根呲着地 用鞋后跟跐着地
用马连捆成 用马莲捆成
甩秀汤 甩袖汤
甪之不竭 用之不竭
甪人不疑，疑人不甪 用人不疑，疑人不用
甪人唯才 用人唯才
甪兵如神 用兵如神
甪其所欲，行其所能 用其所欲，行其所能
甪其所长 用其所长
甪具 用具
甪典 用典
甪刑 用刑
甪劲 用劲
甪印 用印
甪命 用命
甪夏变夷 用夏变夷
甪工 用工
甪心良苦 用心良苦
甪意 用意
甪户界面 用户界面
甪材林 用材林
甪武 用武
甪法 用法
甪舍行藏 用舍行藏
甪行舍藏 用行舍藏
甪词不当 用词不当
甪费 用费
甪途 用途
甪非所学 用非所学
甪非所长 用非所长
甪饭 用饭
甫美洲 南美洲
甭动掸 甭动弹
甭间 甭问
田七 三七
田原风光 田园风光
田天野老 田夫野老
田子格 田字格
田平 田坪
田梗 田埂
田梗溪旁 田埂溪旁
田硬上 田埂上
田舎 田舍
田记赛马 田忌赛马
田野拨节 田野拔节
田际赛马 田忌赛马
由丁对 由于对
由为之说 曲为之说
由于了一下 犹豫了一下
由于情份妨碍着 由于情分妨碍着
由于成份不好 由于成分不好
由其固定的速度 有其固定的速度
由其是 尤其是
由夹已久 由来已久
由学阿世 曲学阿世
由小贝大 由小见大
由尽人情 曲尽人情
由尽其妙 曲尽其妙
由尽其道 曲尽其道
由干某种原因 由于某种原因
由干达到了 由于达到了
由径通幽 曲径通幽
由意逢迎 曲意逢迎
由我而死 因我而死
由所不同 有所不同
由木扳隔着 由木板隔着
由来依久 由来已久
由此可兄 由此可见
由此必要 有此必要
由此见出 由此看出
由水流觞 曲水流觞
由然升起 油然升起
由然而升 油然而生
由然而生 油然而生
由然而生敬意 油然而生敬意
由由人太多 由于人太多
由穷致富 由穷至富
由突徙薪 曲突徙薪
由经手人员造帐报销 由经手人员造账报销
由胜而衰 由盛而衰
由荔枝木来烤是吧 有荔枝木来烤是吧
由衰之言 由衷之言
由衷而生 油然而生
由远及进 由远及近
由里拐弯 曲里拐弯
由随人意 曲随人意
甲克虫 甲壳虫
甲戍 甲戌
甲状腺机能亢进 甲状腺功能亢进
甲胃 甲胄
申国 中国
申张正义 伸张正义
申日达夕 申旦达夕
申明大义 深明大义
申清书 申请书
申请凝重 神情凝重
申请紧张 神情紧张
申辨 申辩
申酉戍亥 申酉戌亥
甴博返约 由博返约
甴头 由头
甴小见大 由小见大
甴打 由打
甴来已久 由来已久
甴此及彼 由此及彼
甴浅入深 由浅入深
甴表及里 由表及里
甴衷之言 由衷之言
甴近及远 由近及远
电予琴 电子琴
电光火石 电光石火
电光石火问 电光石火间
电冂 电门
电圧表 电压表
电子千扰 电子干扰
电子原件 电子元件
电子称上 电子秤上
电子辞典 电子词典
电导议测定 电导仪测定
电影园 电影院
电影明垦 电影明星
电影票房记录 电影票房纪录
电暖气 电暖器
电梯问 电梯间
电池弹射 电磁弹射
电活号码 电话号码
电磁千扰 电磁干扰
电算机 计算机
电纽 电钮
电线秆 电线杆
电线竿 电线杆
电脑幕屏 电脑屏幕
电脑萤幕 电脑屏幕
电脑骇客 电脑黑客
电规台 电视台
电视剧片断 电视剧片段
电视广播员 电视播音员
电视摇控器 电视遥控器
电视是42寸的 电视是42吋的
电视昼面 电视画面
电视节民 电视节目
电视节自 电视节目
电视萤幕 电视荧幕
电视银幕 电视荧幕
电话令声 电话铃声
电话拔 电话拨
电话玲声 电话铃声
电话薄 电话簿
电话话码 电话号码
电话那段传来 电话那端传来
电话钤 电话铃
电话零声 电话铃声
电钤 电铃
电闩 电门
电闪雷呜 电闪雷鸣
电阻应小于4 电阻应小于4欧姆
电饭包 电饭煲
电饭堡 电饭煲
男主脚 男主角
男了汉 男子汉
男予汉 男子汉
男人和女入 男人和女人
男人生而与 男人生来与
男仕 男士
男女之问 男女之间
男女冇别 男女有别
男女受授不亲 男女授受不亲
男女宾相 男女傧相
男女授受不清 男女授受不亲
男女授受木亲 男女授受不亲
男女收受不清 男女授受不亲
男妇老幼 男女老幼
男子气慨 男子气概
男子汗 男子汉
男孑汉 男子汉
男性不孕 男性不育
男性荷尔获 男性荷尔蒙
男性魁力 男性魅力
男明友 男朋友
男明垦 男明星
男演贝 男演员
男猪脚 男主角
男生小合唱 男声小合唱
男瞥察 男督察
男老力生产队里挣工分 男劳力生产队里挣工分
男该子 男孩子
男轻年 男青年
男陔 男孩
画一不二 划一不二
画一副 画一幅
画不在乎边 画不在手边
画个妆 化个妆
画了三张附 画了三张符
画了妆 化了妆
画作永恒 化作永恒
画分为 划分为
画墙 画樯
画好了妆 化好了妆
画好妆 化好妆
画妆师 化妆师
画完妆 化完妆
画廓 画廊
画引涂鸦 画蚓涂鸦
画浓妆 化浓妆
画相 画像
画着浓妆 化着浓妆
画破黑夜 划破黑夜
画航 画舫
画舫浆声 画舫桨声
画虎木成反类狗 画虎不成反类狗
画蚓涂鸭 画蚓涂鸦
画蛇添脚 画蛇添足
画龙点晴 画龙点睛
画龙点晴之妙 画龙点睛之妙
畄着 留着
畅开了 敞开了
畅开心扉 敞开心扉
畅所欲谈 畅所欲言
畅炔 畅快
畅通圥阻 畅通无阻
畅通尢阻 畅通无阻
畅通无助 畅通无阻
畅酣 酣畅
畅随 畅遂
界线不清 界限不清
畏兲恤民 畏天恤民
畏兲知命 畏天知命
畏力避箭 畏刀避箭
畏夭恤民 畏天恤民
畏夭知命 畏天知命
畏崽不前 畏葸不前
畏崽不前 畏崽不葸
畏强临弱 畏强凌弱
畏影面走 畏影而走
畏惧心里 畏惧心理
畏畏琐琐 畏畏缩缩
畏畏颤颤 颤颤巍巍
畏缩木前 畏缩不前
畏难荀安 畏难苟安
畏首畏脚 畏首畏尾
留下一个凸起呢 留下一个突起呢
留下一阙词 留下一阕词
留下了晶莹的泪水 流下了晶莹的泪水
留下了泪 流下了泪
留下了眼泪 流下了眼泪
留下仍何痕迹 留下任何痕迹
留下泪来 流下泪来
留下热泪 流下热泪
留下眼泪 流下眼泪
留俗飘动 流苏飘动
留党察看二年 留党察看两年
留党查看 留党察看
留冂 留门
留出血 流出血
留口水 流口水
留学生跟里可就 留学生跟前可就
留守住了最纯正的家乡味道 留守住了最醇正的家乡味道
留影照像的时候 留影照相的时候
留恋不舎 留恋不舍
留恋往返 流连忘返
留恋忘返 留连忘返
留恋木舍 留恋不舍
留校查看 留校察看
留此不远处 离此不远处
留泪 流泪
留甪 留用
留着么 留着吗
留着口水 流着口水
留着泪冷笑 流着泪冷笑
留着泪唱 流着泪唱
留着泪， 流着泪，
留着眼泪 流着眼泪
留着罢 留着吧
留着鞭子 留着辫子
留着鲜血 流着鲜血
留给诗届一个美丽的神话 留给诗界一个美丽的神话
留芳千古 流芳千古
留芳百世 流芳百世
留苏飘动 流苏飘动
留言版 留言板
留言薄 留言簿
留连不舍 恋恋不舍
留连于 流连于
留连往返 留连忘返
留连的脚步 流连的脚步
留闩 留门
留鼻血 流鼻血
畜性 畜生
畜着长发 蓄着长发
畜积 蓄积
略一思付 略一思忖
略为一呆 略微一呆
略为一想 略微一想
略为一愣 略微一愣
略为一空 略微一空
略为一视 略微一视
略使小技 略施小计
略使小计 略施小计
略做停留 略作停留
略具姿首 略具姿色
略冇所知 略有所知
略圥参商 略无参商
略备薄洒 略备薄酒
略尢参商 略无参商
略带讥设 略带讥诮
略施小技 略施小计
略现疲惫 略显疲惫
略等求进 躐等求进
略策 策略
略胜一畴 略胜一筹
略见一班 略见一斑
略见一般 略见一斑
略识之圥 略识之无
略识之尢 略识之无
番了一倍 翻了一倍
番了两番 翻了两番
番了几番 翻了几番
番然悔悟 翻然悔悟
番然觉醒 幡然觉醒
番禹 番禺
番茄浆 番茄酱
畲田 畬田
畴形发展 畸形发展
畸変 畸变
畸形怪状 奇形怪状
畸角之势 犄角之势
疆住了 僵住了
疆尸 僵尸
疆硬 僵硬
疆绳 缰绳
疆耗 噩耗
疏不知 殊不知
疏峻 疏浚
疏散紧张情绪 舒散紧张情绪
疏木间亲 疏不间亲
疏沦 疏瀹
疏疏毛 梳梳毛
疏眉秀且 疏眉秀目
疏眉秀日 疏眉秀目
疏祸 纾祸
疏缓 舒缓
疏而不露 疏而不漏
疏而木漏 疏而不漏
疏软 酥软
疏露 疏漏
疏食炊水 疏食饮水
疑信叁半 疑信参半
疑则勿甪，甪则勿疑 疑则勿用，用则勿疑
疑惑丕定 疑惑不定
疑惑木定 疑惑不定
疑惑木解 疑惑不解
疑或不解 疑惑不解
疑望着 凝望着
疑狐 狐疑
疑神思索 凝神思索
疑种疑鬼 疑神疑鬼
疑聚 凝聚
疑视 凝视
疑讶 疑惑
疑误兲下 疑误天下
疑迟 迟疑
疑重 凝重
疗效显着 疗效显著
疗痒院 疗养院
疙立 屹立
疚歉 歉疚
疤疹 疱疹
疫情爆发的前夕 疫情暴发的前夕
疫魔在施虐 疫魔在肆虐
疮口贴 创口贴
疮可贴 创可贴
疮庚满目 疮痍满目
疮疥 疥疮
疮疹 疱疹
疮痛 创痛
疯张起来 疯狂起来
疯情万种 风情万种
疯涌而下 蜂拥而下
疯狂的发泄 疯狂地发泄
疯疯滇滇 疯疯癫癫
疯瘫 风瘫
疯颠 疯癫
疱丁解牛 庖丁解牛
疱厨 庖厨
疲塌 疲沓
疲如奔命 疲于奔命
疲弊 凋敝
疲惫不勘 疲惫不堪
疲惫木堪 疲惫不堪
疲惫的躺在床上 疲惫地躺在床上
疲极泰来 否极泰来
疲累不堪 疲惫不堪
疲踏 疲沓
疲软温弱 疲软文弱
疲鞋 皮鞋
疳证 疳病
疵护 庇护
疵暇 瑕疵
疵漏 纰漏
疵牙咧嘴 龇牙咧嘴
疼借 疼惜
疼恨自己 痛恨自己
疼懵了 疼蒙了
疼爱有佳 疼爱有加
疼痈 疼痛
疼痛臊痒 疼痛瘙痒
疾妒 嫉妒
疾弛 疾驰
疾心痛首 痛心疾首
疾恶奸善 疾恶好善
疾木可为 疾不可为
疾痛惨但 疾痛惨怛
疾言历色 疾言厉色
疾贤妒能 嫉贤妒能
疾迷目光 痴迷目光
疾锋而试 及锋而试
疾雷不及掩耳 迅雷不及掩耳
疾风暴兩 疾风暴雨
疾风知劲革 疾风知劲草
疾风骤兩 疾风骤雨
病世 病逝
病人膏盲 病人膏肓
病人膏肓 病入膏肓
病从口人 病从口入
病从囗入 病从口入
病入沉苛 病入沉疴
病入濒危 病人濒危
病入膏盲 病入肓盲
病入膏盲 病入膏肓
病入膏育 病入膏肓
病入膏荒 病入膏肓
病入豪肓 病入膏肓
病全癒 病痊愈
病到了 病倒了
病厉表 病历表
病塌 病榻
病変 病变
病弊 弊病
病急乱救医 病急乱求医
病愈山院 病愈出院
病殃殃 病怏怏
病残几童 病残儿童
病毒弥漫的速度与空气并趋 病毒弥漫的速度与空气并驱
病泱泱 病怏怏
病源体 病原体
病疼 病痛
病癒 病愈
病秧予 病秧子
病秧孑 病秧子
病秧秧 病怏怏
病证 病症
症兆 征兆
痉孪 痉挛
痉摩 痉挛
痉证 痉病
痊可 痊愈
痒威蓄锐 养威蓄锐
痒子 痱子
痒家活口 养家活口
痒家糊口 养家糊口
痒尊处优 养尊处优
痒生之道 养生之道
痒生送死 养生送死
痒痈贻患 养痈贻患
痒的他不住地抓 痒得他不住地抓
痒精蓄锐 养精蓄锐
痒老送终 养老送终
痒育之恩 养育之恩
痒虎自啮 养虎自啮
痒虎遗患 养虎遗患
痒虺成蛇 养虺成蛇
痕记 痕迹
痘猪 豆猪
痛不欲人 痛不欲生
痛不欲声 痛不欲生
痛不欲身 痛不欲生
痛叱 痛斥
痛哭一常 痛哭一场
痛哭流弟 痛哭流涕
痛哭流泣 痛哭流涕
痛哭涕流 痛哭流涕
痛夺 痛苦
痛如刀搅 痛如刀绞
痛定恩痛 痛定思痛
痛彻心肺 痛彻心扉
痛彻心靡 痛彻心扉
痛心人骨 痛心入骨
痛心击首 痛心疾首
痛心嫉首 痛心疾首
痛心急首 痛心疾首
痛撤心扉 痛彻心扉
痛木欲生 痛不欲生
痛澈心扉 痛彻心扉
痛炊黄龙 痛饮黄龙
痛爱你 疼爱你
痛疼之中 疼痛之中
痛疼使 疼痛使
痛苦一场 痛哭一场
痛苦不勘 痛苦不堪
痛苦失声 痛哭失声
痛苦流涕 痛哭流涕
痞子菜 痞子蔡
痣疮 痔疮
痪瘫 瘫痪
痫病 癎病
痫证 癎病
痰嗽 咳嗽
痰迷心窃 痰迷心窍
痲疹 麻疹
痲痹 麻痹
痲风 麻风
痳疹 麻疹
痳痹 麻痹
痳风 麻风
痴人做梦 痴人说梦
痴亼说梦 痴人说梦
痴八说梦 痴人说梦
痴心不该 痴心不改
痴心忘想 痴心妄想
痴心木改 痴心不改
痴心枉想 痴心妄想
痴蛏 痴呆
痴闲患者 癫痫患者
痹证 痹病
痿证 痿病
痿靡不振 萎靡不振
瘁死 猝死
瘆的慌 瘆得慌
瘌蛤蟆 癞蛤蟆
瘘道 瘘管
瘜肉 息肉
瘟役 瘟疫
瘠亼肥己 瘠人肥己
瘠八肥己 瘠人肥己
瘠己肥亼 瘠己肥人
瘠己肥八 瘠己肥人
瘦俏 瘦削
瘦词 廋词
瘦骨伶丁 瘦骨伶仃
瘦骨伶什 瘦骨伶仃
瘦骨如材 骨瘦如柴
瘦骨如柴 骨瘦如柴
瘦骨嶙刚 瘦骨嶙峋
瘦骨嶙嶙 瘦骨嶙峋
瘦骨零丁 瘦骨伶仃
瘦高条 瘦高挑
瘫到在 瘫倒在
瘫塌 坍塌
瘴疬 瘴疠
瘾君孑 瘾君子
癌変 癌变
癌皮狗 癞皮狗
癔病 癔症
癖极泰来 否极泰来
癞虾蟆 癞蛤蟆
癞蛤螅 癞蛤蟆
癞蛤螟 癞蛤蟆
癣好 癖好
癫皮狗 癞皮狗
癫蛤螟 癞蛤蟆
癫证 癫病
癸丑兔年春节 癸卯兔年春节
癸西 癸酉
登一双白色球鞋 蹬一双白色球鞋
登三轮 蹬三轮
登上记 登记上
登云步冃 登云步月
登冂拜谢 登门拜谢
登山临氺 登山临水
登山涉氺 登山涉水
登峰陷阵 登锋陷阵
登开 蹬开
登时懵圈了 登时蒙圈了
登机脾 登机牌
登极典礼 登基典礼
登极大典 登基大典
登泰山而小兲下 登泰山而小天下
登登乱响 噔噔乱响
登登作响 噔噔作响
登着一双皮鞋 蹬着一双皮鞋
登着踏板 蹬着踏板
登着鼻子上脸 蹬着鼻子上脸
登计证 登记证
登计费 登记费
登记茬册 登记在册
登闩拜谢 登门拜谢
登陆BBS 登录BBS
登陆QQ 登录QQ
登陆不了作家账号 登录不了作家账号
登陆信息 登录信息
登陆信箱 登录信箱
登陆官网 登录官网
登陆帐号 登录账号
登陆微博 登录微博
登陆我邮箱 登录我邮箱
登陆支付宝 登录支付宝
登陆教育局网站 登录教育局网站
登陆服务器 登录服务器
登陆查询 登录查询
登陆游戏 登录游戏
登陆界面 登录界面
登陆程序 登录程序
登陆网站 登录网站
登陆网页 登录网页
登陆聊天室 登录聊天室
登陆聊天软件 登录聊天软件
登陆论坛 登录论坛
登陆邮箱 登录邮箱
登陆银行网站 登录银行网站
登陆页面 登录页面
登高揽胜 登高览胜
登高远跳 登高远眺
白不及一 百不及一
白世不斩 百世不斩
白世不祧 百世不祧
白世之师 百世之师
白业凋零 百业凋零
白中无一 百中无一
白为一家 自为一家
白乎起家 白手起家
白乘之家 百乘之家
白了睑 白了脸
白云亲舎 白云亲舍
白云深处有人家 白云生处有人家
白亓水 白开水
白以为是 自以为是
白作白受 自作自受
白依宰相 白衣宰相
白六之会 百六之会
白六阳九 百六阳九
白内瘴 白内障
白刀了进 白刀子进
白刀孑进 白刀子进
白刀干进 白刀子进
白刃肉博 白刃肉搏
白分之十 百分之十
白利利他 自利利他
白剪羽翼 自剪羽翼
白动不如一静 百动不如一静
白华之冤 白华之怨
白卖白夸 自卖自夸
白卖自夸 自卖自夸
白发仓父 白发伧父
白发仓髯 白发苍髯
白发搔更短 白头搔更短
白发皤皤 白发皤然
白发苍父 白发伧父
白发苍苍偏编穿红披绿 白发苍苍偏偏穿红披绿
白取其咎 自取其咎
白吃自拿 白吃白拿
白同寒蝉 自同寒蝉
白吹白擂 自吹自擂
白吹自擂 自吹自擂
白味珍馐 百味珍馐
白哗哗 白花花
白商索节 白商素节
白啭流莺 百啭流莺
白嗟白叹 自嗟自叹
白嗟白怨 自嗟自怨
白嗟自叹 自嗟自叹
白嗟自怨 自嗟自怨
白圭之坫 白圭之玷
白坃儿 白玩儿
白城巿 白城市
白壁微瑕 白璧微瑕
白壁无暇 白璧无瑕
白壁无瑕 白璧无瑕
白壁有瑕 白璧有瑕
白天去队里挣公分 白天去队里挣工分
白头丕终 白头不终
白头借老 白头偕老
白头储老 白头偕老
白头携老 白头偕老
白头木终 白头不终
白头贴子 白头帖子
白尚素节 白商素节
白屋出公聊 白屋出公卿
白屋寒冂 白屋寒门
白屋寒闩 白屋寒门
白屋穷名 白屋穷民
白展鸡 白斩鸡
白山巿 白山市
白山黑氺 白山黑水
白崖而反 自崖而反
白川归海 百川归海
白巧千穷 百巧千穷
白年之好 百年之好
白幵水 白开水
白底兰花 白底蓝花
白废力气 白费力气
白怨白艾 自怨自艾
白情白愿 自情自愿
白惜毛羽 自惜毛羽
白惜白怜 自惜白怜
白惜自怜 自惜自怜
白所难免 自所难免
白手不渝 白首不渝
白手之心 白首之心
白手北面 白首北面
白手空归 白首空归
白手起冢 白手起家
白扬树 白杨树
白报公议 自报公议
白拔来归 自拔来归
白拘过隙 白驹过隙
白描乎法 白描手法
白救不暇 自救不暇
白斟白酌 自斟自酌
白斟自饮 自斟自饮
白无一是 百无一是
白无所成 百无所成
白日之内 百日之内
白日井天 白日升天
白日升兲 白日升天
白日开天 白日升天
白日贝鬼 白日见鬼
白晁晁 白晃晃
白晰娇好 白皙娇好
白暂丰满颇有几分姿色 白皙丰满颇有几分姿色
白暨豚 白鳍豚
白暴白弃 自暴自弃
白暴自弃 自暴自弃
白曰说梦 白日说梦
白曰黑夜 白日黑夜
白服看人 白眼看人
白杨绿铆 白杨绿柳
白板兲子 白板天子
白板天了 白板天子
白板天予 白板天子
白板天孑 白板天子
白板天孒 白板天子
白板天孓 白板天子
白步无轻担 百步无轻担
白水真亼 白水真人
白水真入 白水真人
白水真八 白水真人
白氺真人 白水真人
白求思 白求恩
白沙巾 白纱巾
白活蛋子 白话蛋子
白浪涛天 白浪滔天
白浪滔兲 白浪滔天
白灵咸助 百灵咸助
白灵百验 百灵百验
白烨树 白桦树
白然而然 自然而然
白物涌贵 百物涌贵
白王莲花杯 白玉莲花杯
白璧圥瑕 白璧无瑕
白璧天瑕 白璧无瑕
白璧尢瑕 白璧无瑕
白璧微暇 白璧微瑕
白璧无暇 白璧无瑕
白甘寂寞 自甘寂寞
白甘淡泊 自甘淡泊
白生白灭 自生自灭
白生自灭 自生自灭
白由白在 自由自在
白画馍 白面馍
白癜疯 白癜风
白癫疯 白癜风
白癫风 白癜风
白的白，黄白黄，紫的紫 白的白，黄的黄，紫的紫
白相践踏 自相践踏
白眼一番 白眼一翻
白督光滑 白皙光滑
白知之明 自知之明
白磁杯 白瓷杯
白磁砖的灶台 白瓷砖的灶台
白磁观音 白瓷观音
白私白利 自私自利
白私自利 自私自利
白窒寒门 白屋寒门
白窒穷民 白屋穷民
白端交集 百端交集
白端待理 百端待理
白累丝 白螺丝
白纵千随 百纵千随
白纸黑宇 白纸黑字
白给白足 自给自足
白给自足 自给自足
白羊肚子毛由 白羊肚子毛巾
白羊肚孑毛巾 白羊肚子毛巾
白而书生 白面书生
白舌之声 百舌之声
白色体恤 白色T恤
白色寸衫 白色衬衫
白色札服 白色礼服
白色的毛牛身上才会出现 白色的牦牛身上才会出现
白色衫衬 白色衬衫
白芒芒 白茫茫
白花齐放 百花齐放
白莱价 白菜价
白莱心 白菜心
白蛇吐信 白蛇吐芯
白蜡名经 白蜡明经
白蟮鱼本身的鲜味 白鳝鱼本身的鲜味
白行其是 自行其是
白行开车 自行开车
白衒白媒 自衒自媒
白衣杉 白衣衫
白衣白使 白衣天使
白衣赏 白衣裳
白觉白愿 自觉自愿
白言白语 自言自语
白认为是 自认为是
白诒伊戚 自诒伊戚
白语主义 自语主义
白误误人 自误误人
白说渌道 白说绿道
白说白话 自说自话
白说自话 自说自话
白谋千计 百谋千计
白费心恩 白费心思
白足之虫，死而不僵 百足之虫，死而不僵
白身莫赎 百身莫赎
白轻白贱 自轻自贱
白轻自贱 自轻自贱
白辞莫辩 百辞莫辩
白郎宁 白朗宁
白郐以下 自郐以下
白里之才 百里之才
白里异习 百里异习
白金汉官 白金汉宫
白镰鱼 白鲢鱼
白雪争容 白雪争荣
白雪恺恺 白雪皑皑
白静文雅 白净文雅
白顾不暇 自顾不暇
白领阶级 白领阶层
白首不愉 白首不渝
白首丕渝 白首不渝
白首北而 白首北面
白首圥成 白首无成
白首尢成 白首无成
白首木渝 白首不渝
白马伐骥 百马伐骥
白马王了 白马王子
白马王予 白马王子
白马王于 白马王子
白马王孑 白马王子
白马王孒 白马王子
白马王孓 白马王子
白骨生台 白骨生苔
白骨项 白骨顶
白高白大 自高自大
白高自大 自高自大
白鸡黄大 白鸡黄犬
白鹤晾翅 白鹤亮翅
白黑木分 白黑不分
白龙鱼眼 白龙鱼服
百万份之一 百万分之一
百万像数 百万像素
百万富翕 百万富翁
百不及壹 百不及一
百不极一 百不及一
百丕及一 百不及一
百世一亼 百世一人
百世一八 百世一人
百世不折 百世不斩
百世不挑 百世不祧
百世丕斩 百世不斩
百世丕祧 百世不祧
百世之狮 百世之师
百世木斩 百世不斩
百世木祧 百世不祧
百业调零 百业凋零
百中圥一 百中无一
百中尢一 百中无一
百乖之家 百乘之家
百代过容 百代过客
百份百 百分百
百伐文宗 百代文宗
百伐过客 百代过客
百元大秒 百元大钞
百六之绘 百六之会
百六羊九 百六阳九
百六阳玖 百六阳九
百兽振惶 百兽震惶
百几八十 百儿八十
百分这一百 百分之一百
百分这八十 百分之八十
百剩之家 百乘之家
百动木如一静 百动不如一静
百十夹年 百十来年
百华之怨 白华之怨
百发伧父 白发伧父
百发苍髯 白发苍髯
百口莫辨 百口莫辩
百口难辨 百口难辩
百叶窗廉 百叶窗帘
百味参杂 百味掺杂
百味杂呈 百味杂陈
百和花 百合花
百商素节 白商素节
百啭流鹰 百啭流莺
百囗莫辩 百口莫辩
百圥一失 百无一失
百圥一是 百无一是
百圥一漏 百无一漏
百圥一用 百无一用
百圥一能 百无一能
百圥所成 百无所成
百圥禁忌 百无禁忌
百圥聊赖 百无聊赖
百圭之玷 白圭之玷
百头帖子 白头帖子
百子边炮 百子鞭炮
百孑鞭炮 百子鞭炮
百孔千窗 百孔千疮
百尢一是 百无一是
百尢一漏 百无一漏
百尢一用 百无一用
百尢一能 百无一能
百尢所成 百无所成
百尢禁忌 百无禁忌
百尢聊赖 百无聊赖
